morphtype,VMag,Vreffpc
dSph,-13.5,2587
dSph,-1.5,29
dSph,-4.2,149
dSph,-2.7,51
dSph,-2.5,35
dSph,-2.7,25
dSph,-4.1,77
dSph,-6.3,242
dSph,-8.8,221
dSph,-8.8,181
dSph,-11.1,283
dSph,-9.3,695
dSph,-5.5,319
dSph,-9.1,250
dSph,-6.6,330
dSph,-13.4,710
dSph,-5.8,206
dSph,-4.9,74
dSph,-5.2,135
dSph,-5,58
dSph,-8.6,564
dSph,-9.8,176
dSph,-12,251
cE,-16.4,110
dSph,-8.1,557
dE/dSph,-16.5,590
dSph,-8.7,286
dSph,-11.7,672
dSph,-7.9,434
dSph,-10,479
dSph,-9.7,709
dSph,-7.1,222
dSph,-6.9,157
dSph,-9.1,315
dSph,-7.6,265
dSph,-10.2,1029
dSph,-6.3,124
dSph,-6.4,304
dE/dSph,-14.6,623
dSph,-9.9,875
dSph,-8.4,363
dSph,-9.4,222
dSph,-6.7,207
dSph,-12.4,1176
dE/dSph,-14.8,458
dSph,-8.3,361
dSph,-9.2,1683
dSph,-7.6,367
dSph,-12.6,776
dSph,-6.5,217
dIrr,-15,612
dIrr/dSph,-10.1,470
dSph,-11.3,524
dSph,-9.2,136
dSph?,-8.5,213
dIrr,-15.2,1496
dIrr/dSph,-9.9,454
dIrr,-15.2,354
dSph,-11.2,703
dIrr/dSph,-12.2,562
dIrr/dSph,-8,120
dIrr,-14.2,2111
dIrr,-12.1,499
dSph,-9.7,363
dIrr/dSph,-10.6,458
dSph,-9.5,284
dIrr,-11.5,282
dIrr/dSph,-12.5,162
dIrr,-14.9,1626
dIrr,-14.5,440
dIrr,-10.4,471
dIrr,-14.3,1029
dIrr/dSph,-10.5,222
dIrr/dSph,-11.5,280
Irr,-18.5,2900
dIrr/dSph,-11.2,248
Sc,-18.5,3025
dIrr,-15.6,550
dIrr,-11.8,470
dIrr,-13.2,578
dIrr,-9.5,229
dIrr,-12.2,203
dIrr,-12.4,427
dIrr,-13.4,315
dIrr,-14,1327
dIrr,-14.4,781
dIrr,-13.2,811
dIrr,-13.2,679
dIrr,-15.8,341
dIrr,-14.4,520
dIrr,-10,210
dIrr,-14.1,374
dIrr,-11,601
